episode,timestep,reward
87,2000,100.003
169,4000,107.7388
245,6000,114.5965
323,8000,111.6554
395,10000,121.4072
465,12000,127.1615
530,14000,135.0482
593,16000,138.3456
663,18000,124.6838
727,20000,140.0617
789,22000,143.7794
856,24000,129.2468
914,26000,151.1821
975,28000,145.5176
1034,30000,147.7013
1092,32000,148.5088
1150,34000,153.8211
1205,36000,159.2077
1256,38000,173.1762
1307,40000,170.5903
1361,42000,164.3805
1407,44000,190.3417
1454,46000,194.8716
1502,48000,182.8944
1547,50000,198.0901
1599,52000,169.7029
1645,54000,191.6349
1688,56000,206.171
1731,58000,201.9386
1779,60000,187.4864
1821,62000,212.4244
1862,64000,212.0605
1905,66000,204.7882
1946,68000,214.7782
1988,70000,211.0537
2028,72000,221.5527
2071,74000,207.7611
2107,76000,246.251
2145,78000,237.6125
2184,80000,228.05
2223,82000,230.2059
2259,84000,244.4451
2297,86000,243.7393
2332,88000,251.7842
2368,90000,245.0305
2406,92000,240.7519
2443,94000,242.8484
2479,96000,250.6818
2514,98000,261.9185
2546,100000,276.8106
