#{"t_start": 1696036225.0048141, "env_id": "AntTargetPosBulletEnv-v0"}
r,l,t
485.351584,1000,21.363746
434.013684,1000,52.16342
455.229431,1000,83.183886
461.580195,1000,113.198959
479.041709,1000,143.32336
492.20866,1000,173.802794
521.889663,1000,209.317385
446.79966,1000,240.133393
441.308396,1000,270.307146
503.356826,1000,300.741279
469.392766,1000,332.308183
522.21466,1000,362.955641
497.576564,1000,392.512093
497.949816,1000,421.154986
454.826592,1000,451.201031
546.895026,1000,481.750929
395.290498,1000,513.242937
555.974453,1000,543.437711
-1.202529,21,543.684025
514.50384,1000,579.19367
-1.347659,21,579.501146
561.123421,1000,609.528789
560.206212,1000,639.756749
610.72754,1000,669.740387
648.6008,1000,698.341369
-0.497058,20,698.579738
-1.972763,20,698.81864
593.396741,1000,727.304047
641.865078,1000,751.989188
567.179653,1000,780.505103
-0.35231,20,780.745214
668.844537,1000,809.329158
639.767285,1000,839.556453
661.753045,1000,869.818207
561.277298,1000,898.606477
741.705744,1000,927.174532
713.039625,1000,961.016592
809.995275,1000,989.586871
875.254298,1000,1018.307634
800.940842,1000,1047.265399
872.858696,1000,1076.533417
943.04219,1000,1107.847683
875.86297,1000,1143.926212
904.107762,1000,1173.91472
847.469572,1000,1204.172355
177.846863,395,1217.365854
188.897559,376,1221.943452
886.032281,1000,1250.289757
773.202379,1000,1278.574459
942.607008,1000,1312.246291
919.876736,1000,1340.907167
1051.226715,1000,1369.95789
861.945295,1000,1398.223939
855.456528,1000,1426.810698
956.667672,1000,1455.360785
1000.088744,1000,1483.611366
1026.943279,1000,1517.214512
1092.483104,1000,1548.003907
893.997538,1000,1576.610492
907.706573,1000,1605.120305
1135.158514,1000,1633.453919
979.399866,1000,1661.86062
1094.259262,1000,1695.456645
1194.52641,1000,1725.934855
1081.604439,1000,1746.332412
